policy,cache_type,l1_size,l2_size,num_cycles
fifo,data,512,512,85066541
secondchance,data,4096,8192,45744770
secondchance,data,256,1024,107186483
nru,data,4096,1024,45840742
nru,data,512,2048,68312153
fifo,data,512,1024,81543092
nru,data,4096,2048,45835685
nru,data,512,8192,62090144
rrip,data,512,512,83488059
secondchance,data,256,2048,98087886
nru,data,4096,8192,45770996
nru,data,128,512,201975696
nru,data,1024,512,70522968
rrip,data,512,1024,79648553
secondchance,data,256,8192,95271988
nru,data,1024,1024,68081149
rrip,data,128,512,201185841
rrip,data,512,2048,70065085
nru,data,128,1024,196055922
secondchance,data,512,512,82221345
nru,data,1024,2048,57035937
rrip,data,512,8192,61980779
secondchance,data,512,1024,79434586
nru,data,1024,8192,54184247
rrip,data,128,1024,195179587
rrip,data,1024,512,70267724
nru,data,128,2048,188382119
nru,data,2048,512,49634796
secondchance,data,512,2048,68879525
rrip,data,1024,1024,68409894
secondchance,data,512,8192,61104490
nru,data,2048,1024,47694895
nru,data,128,8192,225492966
rrip,data,128,2048,187549310
rrip,data,4096,2048,45827200
secondchance,data,1024,512,68788724
rrip,data,1024,2048,57538198
brrip,data,1024,512,68673364
rrip,data,4096,8192,45768642
secondchance,data,1024,1024,66606240
rrip,data,1024,8192,54342516
rrip,data,128,8192,223268038
brrip,data,1024,1024,64072267
rrip,data,2048,512,49662933
brrip,data,128,512,194740914
brrip,data,1024,2048,57950245
rrip,data,256,512,115306125
rrip,data,2048,1024,47710161
brrip,data,1024,8192,57373377
rrip,data,2048,2048,47425475
rrip,data,256,1024,109147645
brrip,data,128,1024,183425390
brrip,data,2048,512,49506642
rrip,data,2048,8192,47340342
rrip,data,256,2048,99988596
brrip,data,2048,1024,48062531
rrip,data,4096,512,45838023
brrip,data,128,2048,168817033
brrip,data,2048,2048,47652485
rrip,data,256,8192,99075759
rrip,data,4096,1024,45829527
brrip,data,2048,8192,47452651
brrip,data,128,8192,170557673
brrip,data,4096,512,45840563
brrip,data,4096,1024,45837596
brrip,data,256,512,138485609
brrip,data,4096,2048,45831711
brrip,data,256,1024,120438681
brrip,data,4096,8192,45792366
brrip,data,256,2048,105073592
brrip,data,256,8192,108324803
brrip,data,512,512,86470230
brrip,data,512,1024,78574399
brrip,data,512,2048,68328333
brrip,data,512,8192,67776891
